Dt_mm,De_mm,Ld_mm,Thrust_N,MassFlow_kg_s,ExitVelocity_m_s,ExitMach,ExitPressure_Pa,NozzleMass_kg,ThrustToMass_N_kg
21,60,90,1454.95345857531,0.652988866092646,2453.5907606495,3.13613504672028,49258.7017489483,0.316672539481851,4594.50466073232
21,65,70,1426.19738522655,0.652988866092646,2496.71768048393,3.24841282991759,39808.2545269917,0.273318560862312,5218.07732605843
21,65,80,1426.19738522655,0.652988866092646,2496.71768048393,3.24841282991759,39808.2545269917,0.303477850336774,4699.51063527001
21,65,90,1426.19738522655,0.652988866092646,2496.71768048393,3.24841282991759,39808.2545269917,0.333637139811236,4274.69611456764
21,70,70,1390.95871410688,0.652988866092646,2534.42509873236,3.35173118597822,32727.8794268934,0.286513250007389,4854.77971462404
21,70,80,1390.95871410688,0.652988866092646,2534.42509873236,3.35173118597822,32727.8794268934,0.318557495074005,4366.42909244293
21,70,90,1390.95871410688,0.652988866092646,2534.42509873236,3.35173118597822,32727.8794268934,0.350601740140621,3967.34686356374
22,50,50,1639.06356205835,0.716658982287621,2313.93565456769,2.80880697448099,91526.5512030481,0.187741576978526,8730.42396062234
22,50,60,1639.06356205835,0.716658982287621,2313.93565456769,2.80880697448099,91526.5512030481,0.212622990794957,7708.77860352824
22,50,70,1639.06356205835,0.716658982287621,2313.93565456769,2.80880697448099,91526.5512030481,0.237504404611388,6901.1922736348
22,50,80,1639.06356205835,0.716658982287621,2313.93565456769,2.80880697448099,91526.5512030481,0.262385818427819,6246.76886837633
22,50,90,1639.06356205835,0.716658982287621,2313.93565456769,2.80880697448099,91526.5512030481,0.287267232244251,5705.71014749334
22,55,50,1629.22339424469,0.716658982287621,2375.35316984436,2.9465582781777,70558.9905940196,0.197166354939295,8263.19173342889
22,55,60,1629.22339424469,0.716658982287621,2375.35316984436,2.9465582781777,70558.9905940196,0.22393272434788,7275.50383263184
22,55,70,1629.22339424469,0.716658982287621,2375.35316984436,2.9465582781777,70558.9905940196,0.250699093756465,6498.72071666663
22,55,80,1629.22339424469,0.716658982287621,2375.35316984436,2.9465582781777,70558.9905940196,0.277465463165051,5871.80608231428
22,55,90,1629.22339424469,0.716658982287621,2375.35316984436,2.9465582781777,70558.9905940196,0.304231832573636,5355.20356453942
22,60,60,1610.79622661534,0.716658982287621,2427.27882538271,3.07045949252286,55794.3266170022,0.235242457900804,6847.38733385697
22,60,70,1610.79622661534,0.716658982287621,2427.27882538271,3.07045949252286,55794.3266170022,0.263893782901543,6103.95670903821
22,60,80,1610.79622661534,0.716658982287621,2427.27882538271,3.07045949252286,55794.3266170022,0.292545107902282,5506.14651588499
22,60,90,1610.79622661534,0.716658982287621,2427.27882538271,3.07045949252286,55794.3266170022,0.321196432903021,5014.98790648679
22,65,60,1584.80831384253,0.716658982287621,2471.97158481685,3.18325904060759,45045.6042571593,0.246552191453727,6427.88167689019
22,65,70,1584.80831384253,0.716658982287621,2471.97158481685,3.18325904060759,45045.6042571593,0.27708847204662,5719.50287984514
22,65,80,1584.80831384253,0.716658982287621,2471.97158481685,3.18325904060759,45045.6042571593,0.307624752639512,5151.75810868405
22,65,90,1584.80831384253,0.716658982287621,2471.97158481685,3.18325904060759,45045.6042571593,0.338161033232405,4686.54918248181
22,70,70,1551.98919738153,0.716658982287621,2510.99355301761,3.28693604227491,37003.8258930146,0.290283161191697,5346.46650191543
22,70,80,1551.98919738153,0.716658982287621,2510.99355301761,3.28693604227491,37003.8258930146,0.322704397376744,4809.32150289122
22,70,90,1551.98919738153,0.716658982287621,2510.99355301761,3.28693604227491,37003.8258930146,0.355125633561791,4370.25393468671
